construction,flavor,category_implementation_class,implementation_source,implementation_source_url,implementation_module,implementation_line,other_classes_with_same_functor_tag,interface_declarations,specialized_implementation_declarations,named_result_categories
Algebras,covariant,algebra_functor.AlgebrasCategory,src/sage/categories/algebra_functor.py:668,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/algebra_functor.py#L668,algebra_functor,668,algebra_functor.AlgebraFunctor,sets_cat.Sets:Algebras,additive_groups.AdditiveGroups:Algebras [nested category class]; additive_groups.AdditiveGroups:Finite.Algebras [nested category class]; additive_magmas.AdditiveMagmas:AdditiveCommutative.Algebras [nested category class]; additive_magmas.AdditiveMagmas:AdditiveUnital.Algebras [nested category class]; additive_magmas.AdditiveMagmas:Algebras [nested category class]; additive_semigroups.AdditiveSemigroups:Algebras [nested category class]; commutative_additive_groups.CommutativeAdditiveGroups:Algebras [nested category class]; coxeter_groups.CoxeterGroups:Algebras [lazy-import binding]; finite_groups.FiniteGroups:Algebras [nested category class]; finite_sets.FiniteSets:Algebras [nested category class]; groups.Groups:Algebras [lazy-import binding]; magmas.Magmas:Algebras [nested category class]; magmas.Magmas:Commutative.Algebras [nested category class]; magmas.Magmas:Unital.Algebras [nested category class]; monoids.Monoids:Algebras [nested category class]; semigroups.Semigroups:Algebras [nested category class]; sets_cat.Sets:Algebras [nested category class],coxeter_group_algebras.CoxeterGroupAlgebras; group_algebras.GroupAlgebras
CartesianProducts,covariant,cartesian_product.CartesianProductsCategory,src/sage/categories/cartesian_product.py:240,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/cartesian_product.py#L240,cartesian_product,240,cartesian_product.CartesianProductFunctor,sets_cat.Sets:CartesianProducts,additive_magmas.AdditiveMagmas:AdditiveCommutative.CartesianProducts [nested category class]; additive_magmas.AdditiveMagmas:AdditiveUnital.AdditiveInverse.CartesianProducts [nested category class]; additive_magmas.AdditiveMagmas:AdditiveUnital.CartesianProducts [nested category class]; additive_magmas.AdditiveMagmas:CartesianProducts [nested category class]; additive_semigroups.AdditiveSemigroups:CartesianProducts [nested category class]; algebras.Algebras:CartesianProducts [nested category class]; algebras_with_basis.AlgebrasWithBasis:CartesianProducts [nested category class]; cartesian_product.CartesianProductsCategory:CartesianProducts [category method]; commutative_additive_groups.CommutativeAdditiveGroups:CartesianProducts [nested category class]; commutative_rings.CommutativeRings:CartesianProducts [nested category class]; distributive_magmas_and_additive_magmas.DistributiveMagmasAndAdditiveMagmas:CartesianProducts [nested category class]; enumerated_sets.EnumeratedSets:CartesianProducts [nested category class]; finite_enumerated_sets.FiniteEnumeratedSets:CartesianProducts [nested category class]; groups.Groups:CartesianProducts [nested category class]; magmas.Magmas:CartesianProducts [nested category class]; magmas.Magmas:Commutative.CartesianProducts [nested category class]; magmas.Magmas:Unital.CartesianProducts [nested category class]; magmas.Magmas:Unital.Inverse.CartesianProducts [nested category class]; magmas_and_additive_magmas.MagmasAndAdditiveMagmas:CartesianProducts [nested category class]; metric_spaces.MetricSpaces:CartesianProducts [nested category class]; metric_spaces.MetricSpaces:Complete.CartesianProducts [nested category class]; modules.Modules:CartesianProducts [nested category class]; modules_with_basis.ModulesWithBasis:CartesianProducts [nested category class]; monoids.Monoids:CartesianProducts [nested category class]; semigroups.Semigroups:CartesianProducts [nested category class]; sets_cat.Sets:CartesianProducts [nested category class]; topological_spaces.TopologicalSpaces:CartesianProducts [nested category class]; topological_spaces.TopologicalSpaces:Compact.CartesianProducts [nested category class]; topological_spaces.TopologicalSpaces:Connected.CartesianProducts [nested category class]; unital_algebras.UnitalAlgebras:CartesianProducts [nested category class]; vector_spaces.VectorSpaces:CartesianProducts [nested category class]; vector_spaces.VectorSpaces:WithBasis.CartesianProducts [nested category class],
DualObjects,covariant,dual.DualObjectsCategory,src/sage/categories/dual.py:31,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/dual.py#L31,dual,31,dual.DualFunctor,modules.Modules:DualObjects; modules.Modules:dual,algebras.Algebras:DualObjects [nested category class]; coalgebras.Coalgebras:DualObjects [nested category class]; modules_with_basis.ModulesWithBasis:DualObjects [nested category class]; vector_spaces.VectorSpaces:DualObjects [nested category class],
Filtered,regressive covariant,filtered_modules.FilteredModulesCategory,src/sage/categories/filtered_modules.py:58,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/filtered_modules.py#L58,filtered_modules,58,,modules.Modules:Filtered,algebras.Algebras:Filtered [lazy-import binding]; algebras_with_basis.AlgebrasWithBasis:Filtered [lazy-import binding]; coalgebras.Coalgebras:Filtered [nested category class]; coalgebras_with_basis.CoalgebrasWithBasis:Filtered [nested category class]; hopf_algebras_with_basis.HopfAlgebrasWithBasis:Filtered [lazy-import binding]; modules.Modules:Filtered [lazy-import binding]; modules_with_basis.ModulesWithBasis:Filtered [lazy-import binding]; vector_spaces.VectorSpaces:Filtered [nested category class]; vector_spaces.VectorSpaces:WithBasis.Filtered [nested category class],filtered_algebras.FilteredAlgebras; filtered_algebras_with_basis.FilteredAlgebrasWithBasis; filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis; filtered_modules.FilteredModules; filtered_modules_with_basis.FilteredModulesWithBasis
Graded,regressive covariant,graded_modules.GradedModulesCategory,src/sage/categories/graded_modules.py:47,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/graded_modules.py#L47,graded_modules,47,,modules.Modules:Graded,algebras.Algebras:Graded [lazy-import binding]; algebras_with_basis.AlgebrasWithBasis:Graded [lazy-import binding]; coalgebras.Coalgebras:Graded [lazy-import binding]; coalgebras_with_basis.CoalgebrasWithBasis:Graded [lazy-import binding]; finitely_generated_lambda_bracket_algebras.FinitelyGeneratedLambdaBracketAlgebras:Graded [nested category class]; finitely_generated_lie_conformal_algebras.FinitelyGeneratedLieConformalAlgebras:Graded [nested category class]; finitely_generated_lie_conformal_algebras.FinitelyGeneratedLieConformalAlgebras:Super.Graded [nested category class]; hopf_algebras_with_basis.HopfAlgebrasWithBasis:Graded [lazy-import binding]; lambda_bracket_algebras_with_basis.LambdaBracketAlgebrasWithBasis:FinitelyGeneratedAsLambdaBracketAlgebra.Graded [nested category class]; lie_algebras.LieAlgebras:Graded [lazy-import binding]; lie_algebras_with_basis.LieAlgebrasWithBasis:Graded [lazy-import binding]; lie_conformal_algebras.LieConformalAlgebras:Graded [lazy-import binding]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:FinitelyGeneratedAsLambdaBracketAlgebra.Graded [nested category class]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:FinitelyGeneratedAsLambdaBracketAlgebra.Super.Graded [nested category class]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:Graded [nested category class]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:Super.Graded [nested category class]; modules.Modules:Graded [lazy-import binding]; modules_with_basis.ModulesWithBasis:Graded [lazy-import binding]; super_lie_conformal_algebras.SuperLieConformalAlgebras:Graded [nested category class]; vector_spaces.VectorSpaces:Graded [nested category class]; vector_spaces.VectorSpaces:WithBasis.Graded [nested category class],graded_algebras.GradedAlgebras; graded_algebras_with_basis.GradedAlgebrasWithBasis; graded_bialgebras.GradedBialgebras; graded_bialgebras_with_basis.GradedBialgebrasWithBasis; graded_coalgebras.GradedCoalgebras; graded_coalgebras_with_basis.GradedCoalgebrasWithBasis; graded_hopf_algebras.GradedHopfAlgebras; graded_hopf_algebras_with_basis.GradedHopfAlgebrasWithBasis; graded_lie_algebras.GradedLieAlgebras; graded_lie_algebras_with_basis.GradedLieAlgebrasWithBasis; graded_lie_conformal_algebras.GradedLieConformalAlgebras; graded_lie_conformal_algebras.GradedLieConformalAlgebrasCategory; graded_modules.GradedModules; graded_modules_with_basis.GradedModulesWithBasis
Homsets,general/specialized functorial,homsets.HomsetsCategory,src/sage/categories/homsets.py:20,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/homsets.py#L20,homsets,20,,objects.Objects:Homsets,additive_magmas.AdditiveMagmas:AdditiveUnital.Homsets [nested category class]; additive_magmas.AdditiveMagmas:Homsets [nested category class]; additive_monoids.AdditiveMonoids:Homsets [nested category class]; additive_semigroups.AdditiveSemigroups:Homsets [nested category class]; drinfeld_modules.DrinfeldModules:Homsets [category method]; finite_dimensional_modules_with_basis.FiniteDimensionalModulesWithBasis:Homsets [nested category class]; hecke_modules.HeckeModules:Homsets [nested category class]; metric_spaces.MetricSpaces:Homsets [nested category class]; modular_abelian_varieties.ModularAbelianVarieties:Homsets [nested category class]; modules.Modules:Homsets [nested category class]; modules_with_basis.ModulesWithBasis:Homsets [nested category class]; schemes.AbelianVarieties:Homsets [nested category class]; simplicial_sets.SimplicialSets:Homsets [nested category class],homsets.HomsetsOf
IsomorphicObjects,regressive covariant,isomorphic_objects.IsomorphicObjectsCategory,src/sage/categories/isomorphic_objects.py:21,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/isomorphic_objects.py#L21,isomorphic_objects,21,,sets_cat.Sets:IsomorphicObjects,finite_enumerated_sets.FiniteEnumeratedSets:IsomorphicObjects [nested category class]; sets_cat.Sets:IsomorphicObjects [nested category class],
Metric,regressive covariant,metric_spaces.MetricSpacesCategory,src/sage/categories/metric_spaces.py:22,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/metric_spaces.py#L22,metric_spaces,22,,sets_cat.Sets:Metric,sets_cat.Sets:Metric [lazy-import binding],metric_spaces.MetricSpaces
Quotients,regressive covariant,quotients.QuotientsCategory,src/sage/categories/quotients.py:21,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/quotients.py#L21,quotients,21,,sets_cat.Sets:Quotients,algebras.Algebras:Quotients [nested category class]; graded_modules_with_basis.GradedModulesWithBasis:Quotients [nested category class]; semigroups.Semigroups:Quotients [nested category class]; sets_cat.Sets:Quotients [nested category class],
Realizations,regressive covariant,realizations.RealizationsCategory,src/sage/categories/realizations.py:49,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/realizations.py#L49,realizations,49,,category.Category:Realizations,coalgebras.Coalgebras:Realizations [nested category class]; hopf_algebras.HopfAlgebras:Realizations [nested category class]; magmas.Magmas:Realizations [nested category class]; magmas.Magmas:Unital.Realizations [nested category class]; sets_cat.Sets:Realizations [nested category class],
SignedTensorProducts,covariant,signed_tensor.SignedTensorProductsCategory,src/sage/categories/signed_tensor.py:91,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/signed_tensor.py#L91,signed_tensor,91,signed_tensor.SignedTensorProductFunctor,graded_algebras.GradedAlgebras:SignedTensorProducts; graded_coalgebras.GradedCoalgebras:SignedTensorProducts,graded_algebras.GradedAlgebras:SignedTensorProducts [nested category class]; graded_algebras_with_basis.GradedAlgebrasWithBasis:SignedTensorProducts [nested category class]; graded_coalgebras.GradedCoalgebras:SignedTensorProducts [nested category class]; graded_coalgebras_with_basis.GradedCoalgebrasWithBasis:SignedTensorProducts [nested category class]; signed_tensor.SignedTensorProductsCategory:SignedTensorProducts [category method]; super_algebras.SuperAlgebras:SignedTensorProducts [nested category class]; super_algebras_with_basis.SuperAlgebrasWithBasis:SignedTensorProducts [nested category class]; supercommutative_algebras.SupercommutativeAlgebras:SignedTensorProducts [nested category class],
Subobjects,regressive covariant,subobjects.SubobjectsCategory,src/sage/categories/subobjects.py:21,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/subobjects.py#L21,subobjects,21,,sets_cat.Sets:Subobjects,filtered_modules_with_basis.FilteredModulesWithBasis:Subobjects [nested category class]; finite_dimensional_lie_algebras_with_basis.FiniteDimensionalLieAlgebrasWithBasis:Subobjects [nested category class]; sets_cat.Sets:Subobjects [nested category class],
Subquotients,regressive covariant,subquotients.SubquotientsCategory,src/sage/categories/subquotients.py:20,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/subquotients.py#L20,subquotients,20,,sets_cat.Sets:Subquotients,finite_sets.FiniteSets:Subquotients [nested category class]; magmas.Magmas:Subquotients [nested category class]; monoids.Monoids:Subquotients [nested category class]; semigroups.Semigroups:Subquotients [nested category class]; sets_cat.Sets:Subquotients [nested category class],
Super,covariant,super_modules.SuperModulesCategory,src/sage/categories/super_modules.py:74,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/super_modules.py#L74,super_modules,74,,modules.Modules:Super,algebras.Algebras:Super [lazy-import binding]; algebras_with_basis.AlgebrasWithBasis:Super [lazy-import binding]; bialgebras.Bialgebras:Super [nested category class]; coalgebras.Coalgebras:Super [nested category class]; coalgebras_with_basis.CoalgebrasWithBasis:Super [nested category class]; finitely_generated_lie_conformal_algebras.FinitelyGeneratedLieConformalAlgebras:Super [nested category class]; graded_lie_conformal_algebras.GradedLieConformalAlgebrasCategory:Super [category method]; hopf_algebras.HopfAlgebras:Super [nested category class]; hopf_algebras_with_basis.HopfAlgebrasWithBasis:Super [lazy-import binding]; lie_conformal_algebras.LieConformalAlgebras:Super [lazy-import binding]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:FinitelyGeneratedAsLambdaBracketAlgebra.Super [nested category class]; lie_conformal_algebras_with_basis.LieConformalAlgebrasWithBasis:Super [nested category class]; modules.Modules:Super [lazy-import binding]; modules_with_basis.ModulesWithBasis:Super [lazy-import binding],super_algebras.SuperAlgebras; super_algebras_with_basis.SuperAlgebrasWithBasis; super_hopf_algebras_with_basis.SuperHopfAlgebrasWithBasis; super_lie_conformal_algebras.SuperLieConformalAlgebras; super_modules.SuperModules; super_modules_with_basis.SuperModulesWithBasis
TensorProducts,covariant,tensor.TensorProductsCategory,src/sage/categories/tensor.py:84,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/tensor.py#L84,tensor,84,tensor.TensorProductFunctor,crystals.Crystals:TensorProducts; modules.Modules:TensorProducts,algebras.Algebras:TensorProducts [nested category class]; algebras_with_basis.AlgebrasWithBasis:TensorProducts [nested category class]; classical_crystals.ClassicalCrystals:TensorProducts [nested category class]; coalgebras.Coalgebras:TensorProducts [nested category class]; commutative_algebras.CommutativeAlgebras:TensorProducts [nested category class]; crystals.Crystals:TensorProducts [nested category class]; finite_crystals.FiniteCrystals:TensorProducts [nested category class]; finite_dimensional_algebras_with_basis.FiniteDimensionalAlgebrasWithBasis:Cellular.TensorProducts [nested category class]; finite_dimensional_modules_with_basis.FiniteDimensionalModulesWithBasis:TensorProducts [nested category class]; highest_weight_crystals.HighestWeightCrystals:TensorProducts [nested category class]; hopf_algebras.HopfAlgebras:TensorProducts [nested category class]; hopf_algebras_with_basis.HopfAlgebrasWithBasis:TensorProducts [nested category class]; loop_crystals.KirillovReshetikhinCrystals:TensorProducts [nested category class]; modules.Modules:FiniteDimensional.TensorProducts [nested category class]; modules.Modules:TensorProducts [nested category class]; modules_with_basis.ModulesWithBasis:TensorProducts [nested category class]; quantum_group_representations.QuantumGroupRepresentations:TensorProducts [nested category class]; quantum_group_representations.QuantumGroupRepresentations:WithBasis.TensorProducts [nested category class]; regular_crystals.RegularCrystals:TensorProducts [nested category class]; regular_supercrystals.RegularSuperCrystals:TensorProducts [nested category class]; supercrystals.SuperCrystals:TensorProducts [nested category class]; tensor.TensorProductsCategory:TensorProducts [category method]; vector_spaces.VectorSpaces:FiniteDimensional.TensorProducts [nested category class]; vector_spaces.VectorSpaces:TensorProducts [nested category class]; vector_spaces.VectorSpaces:WithBasis.FiniteDimensional.TensorProducts [nested category class]; vector_spaces.VectorSpaces:WithBasis.TensorProducts [nested category class],
Topological,regressive covariant,topological_spaces.TopologicalSpacesCategory,src/sage/categories/topological_spaces.py:20,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/topological_spaces.py#L20,topological_spaces,20,,sets_cat.Sets:Topological,groups.Groups:Topological [nested category class]; sets_cat.Sets:Topological [lazy-import binding],topological_spaces.TopologicalSpaces
WithRealizations,regressive covariant,with_realizations.WithRealizationsCategory,src/sage/categories/with_realizations.py:298,https://github.com/sagemath/sage/blob/686dc1a8d420c2e0aabadd4f602d9a0aa4690c50/src/sage/categories/with_realizations.py#L298,with_realizations,298,,category.Category:WithRealizations,additive_magmas.AdditiveMagmas:AdditiveUnital.WithRealizations [nested category class]; coalgebras.Coalgebras:WithRealizations [nested category class]; filtered_hopf_algebras_with_basis.FilteredHopfAlgebrasWithBasis:WithRealizations [nested category class]; graded_hopf_algebras_with_basis.GradedHopfAlgebrasWithBasis:WithRealizations [nested category class]; metric_spaces.MetricSpaces:WithRealizations [nested category class]; monoids.Monoids:WithRealizations [nested category class]; sets_cat.Sets:WithRealizations [nested category class],
